PGN;PGN label;In CSS electronics' DBC?
256;Transmission Control 1;J1939 DBC
512;Electronic Brake System #1/1;No
768;Electronic Brake System #2/1;No
1024;External Brake Request;J1939 DBC
1280;CANopen Application Message #1/1;No
1536;CANopen Application Message #2/1;No
1792;General Purpose Valve Pressure;J1939 DBC & ISOBUS DBC
2048;Auxiliary Input/Output Status 5;J1939 DBC
2304;Static Roll Angle Sensor Information;J1939 DBC
2560;Cruise Control / Vehicle Speed 2;J1939 DBC
2816;Advanced Emergency Braking System 2;J1939 DBC
3072;Electronic Engine Controller 16;J1939 DBC
3328;Transmission Control 2;J1939 DBC
3584;Safety Header Message;No
3840;High Voltage Energy Storage Pack 11 Control 1;J1939 DBC
4096;High Voltage Energy Storage Pack 12 Control 1;J1939 DBC
4352;High Voltage Energy Storage Pack 13 Control 1;J1939 DBC
4608;High Voltage Energy Storage Pack 14 Control 1;J1939 DBC
4864;High Voltage Energy Storage Pack 15 Control 1;J1939 DBC
5120;High Voltage Energy Storage Pack 16 Control 1;J1939 DBC
5376;High Voltage Energy Storage Pack 17 Control 1;J1939 DBC
5632;High Voltage Energy Storage Pack 18 Control 1;J1939 DBC
5888;High Voltage Energy Storage Pack 19 Control 1;J1939 DBC
6144;High Voltage Energy Storage Pack 20 Control 1;J1939 DBC
6400;High Voltage Energy Storage Pack 21 Control 1;J1939 DBC
6656;High Voltage Energy Storage Pack 22 Control 1;J1939 DBC
6912;High Voltage Energy Storage 1 Control 1;J1939 DBC
7168;Transmission Control 3;J1939 DBC
7424;Engine Ignition Controller;J1939 DBC
7680;Alternator Control;J1939 DBC
7936;High Voltage Energy Storage Pack 23 Control 1;J1939 DBC
8192;High Voltage Energy Storage Pack 24 Control 1;J1939 DBC
8448;High Voltage Energy Storage Pack 25 Control 1;J1939 DBC
8704;High Voltage Energy Storage Pack 26 Control 1;J1939 DBC
8960;Tractor Implement Management (TIM) Server to TIM Client;No
9216;Tractor Implement Management (TIM) Client to TIM Server;No
9472;CiA 602-2 Multi-PDU;No
9728;Motor/Generator 1 Inverter Control;No
9984;Motor/Generator 2 Inverter Control;No
10240;Motor/Generator 1 Inverter Rate Limits Request 1;J1939 DBC
10496;Motor/Generator 2 Inverter Rate Limits Request 1;J1939 DBC
10752;High Voltage Energy Storage Pack 1 Control 1;J1939 DBC
11008;High Voltage Energy Storage Pack 2 Control 1;J1939 DBC
11264;High Voltage Energy Storage Pack 3 Control 1;J1939 DBC
11520;High Voltage Energy Storage Pack 4 Control 1;J1939 DBC
11776;High Voltage Energy Storage Pack 5 Control 1;J1939 DBC
12032;High Voltage Energy Storage Pack 6 Control 1;J1939 DBC
12288;High Voltage Energy Storage Pack 7 Control 1;J1939 DBC
12544;High Voltage Energy Storage Pack 8 Control 1;J1939 DBC
12800;High Voltage Energy Storage Pack 9 Control 1;J1939 DBC
13056;High Voltage Energy Storage Pack 10 Control 1;J1939 DBC
19456;Electrified Accessory Engine Coolant Pump Command;J1939 DBC
20224;Data Transfer Support;J1939 DBC
20480;Monthly Data Transfer;J1939 DBC
20736;Weekly Data Transfer;J1939 DBC
20992;Daily Data Transfer;J1939 DBC
21248;EVSE 1 Control 1;J1939 DBC
21504;Winch Information 3;J1939 DBC
21760;Air Suspension Control 8;J1939 DBC
22016;Motor/Generator 2 Inverter Control 2;J1939 DBC
22272;Motor/Generator 1 Inverter Control 2;J1939 DBC
