Original;LogTimestamp;LogID;Ret;Sz;Blk;LogDataBytes;timestamps;echoByte;PGN;Priority;Source;Destination;DataBytes;DataLength;ID;BusChannel;IDE;DLC;Dir;EDL;BRS;PgnLabel;PgnInDbc
000001.226604 (000.003827)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE B0 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.226604;00;0019;02048;1;0011EEB00020FF000300FF1021000000FFD0FF;1.6468283760499542e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.229335 (000.002732)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE B2 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.229335;00;0019;02048;1;0011EEB2000000000303003900190000000000;1.646831178646883e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.232766 (000.003431)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE B3 00 F2 FE 00 06 00 FF 00 00 FF FF FF FF FF FF;000001.232766;00;0019;02048;1;0011EEB300F2FE000600FF0000FFFFFFFFFFFF;1.6468325799453472e-39;00;00FEF2;06;00;FF;0000FFFFFFFFFFFF;8;18FEF200;1;1;8;1;1;1;Fuel Economy (Liquid);J1939 DBC
000001.237029 (000.004263)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE C5 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.237029;00;0019;02048;1;0011EEC5000000000303003900190000000000;1.646857803317705e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.237999 (000.000970)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE C7 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.237999;00;0019;02048;1;0011EEC70023FF000303FF101000FD43FFFF01;1.6468606059146337e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.239234 (000.001234)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE C8 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.239234;00;0019;02048;1;0011EEC80004F0000300FFFE7D7D0000FFFFFF;1.646862007213098e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.246644 (000.007411)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE D9 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.246644;00;0019;02048;1;0011EED90020FF000300FF1021000000FFD0FF;1.6468858292869915e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.247660 (000.001016)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE DA 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.247660;00;0019;02048;1;0011EEDA000000000303003900190000000000;1.646887230585456e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.252860 (000.005200)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE DB 00 03 F0 00 03 00 FF F1 FF 00 00 FF FF 00 FF;000001.252860;00;0019;02048;1;0011EEDB0003F0000300FFF1FF0000FFFF00FF;1.6468886318839202e-39;00;00F003;03;00;FF;F1FF0000FFFF00FF;8;CF00300;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
000001.256478 (000.003619)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EE EC 00 03 F0 00 03 05 FF 00 00 00 00 00 00 00 00;000001.256478;00;0019;02048;1;0011EEEC0003F0000305FF0000000000000000;1.6469124539578137e-39;00;00F003;03;05;FF;0000000000000000;8;CF00305;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
